Age,LoanAmount,Total_Income,Loan_Amount_Term,Credit_History,Cibil_Score,Adhar_Card,Gender_Female,Gender_Male,Married_No,Married_Yes,Education_Graduate,Education_Not Graduate,Self_Employed_No,Self_Employed_Yes,Application_Area_Rural,Application_Area_Semiurban,Application_Area_Urban,Loan_Status
39,30402,490452,36,1,825,1,0,1,1,0,1,0,1,0,0,0,1,1
29,128000,103112,36,1,521,0,0,1,0,1,1,0,1,0,1,0,0,0
36,66000,400140,36,1,808,1,0,1,0,1,1,0,0,1,0,0,1,1
57,120000,389298,36,1,827,1,0,1,0,1,0,1,1,0,0,0,1,1
37,141000,103756,36,1,815,1,0,1,1,0,1,0,1,0,0,0,1,1
45,267000,439040,36,1,837,1,0,1,0,1,1,0,0,1,0,0,1,1
27,95000,202324,36,1,775,1,0,1,0,1,0,1,1,0,0,0,1,1
22,158000,87596,36,0,474,0,0,1,0,1,1,0,1,0,0,1,0,0
27,168000,525914,36,1,847,1,0,1,0,1,1,0,1,0,0,0,1,1
33,349000,165060,36,1,476,0,0,1,0,1,1,0,1,0,0,1,0,0
27,70000,132328,36,1,771,1,0,1,0,1,1,0,1,0,0,0,1,1
50,109000,730024,36,1,800,1,0,1,0,1,1,0,0,0,0,0,1,1
51,200000,578262,36,1,757,1,0,1,0,1,1,0,1,0,0,0,1,1
34,114000,47012,36,1,460,0,0,1,1,0,1,0,1,0,1,0,0,0
31,17000,523554,12,1,757,1,0,1,0,1,1,0,1,0,0,0,1,1
42,125000,344016,36,1,834,1,0,1,1,0,1,0,1,0,0,0,1,1
58,100000,1074360,24,1,785,1,0,1,1,0,0,1,1,0,0,0,1,1
30,76000,62640,36,0,459,0,1,0,1,0,1,0,1,0,0,0,1,0
40,133000,37140,36,1,555,0,0,1,0,1,0,1,1,0,1,0,0,0
51,115000,730364,36,1,812,1,0,1,0,1,1,0,0,0,0,0,1,1
31,104000,117852,36,0,584,0,0,1,0,1,0,1,1,0,0,0,1,0
52,315000,678501,36,1,810,1,0,1,0,1,1,0,1,0,0,0,1,1
26,116000,33123,36,0,365,0,0,1,0,1,0,1,1,0,0,1,0,0
25,112000,79653,36,0,598,0,0,0,0,1,0,1,1,0,1,0,0,0
35,151000,91185,36,0,560,0,0,1,0,1,1,0,0,1,0,1,0,0
53,191000,340644,36,1,798,1,0,1,0,1,1,0,0,1,0,1,0,1
57,122000,882573,36,1,773,1,0,1,0,1,1,0,1,0,0,1,0,1
29,110000,532256,36,1,796,1,0,1,0,1,0,1,1,0,0,0,1,1
25,35000,86460,36,1,468,0,0,1,1,0,0,1,1,0,0,0,1,0
33,120000,255415,36,1,838,1,1,0,1,0,1,0,0,0,0,1,0,1
32,201000,122337,36,0,563,0,0,1,0,1,1,0,0,1,0,0,1,0
34,74000,118008,36,1,527,0,0,1,1,0,1,0,1,0,0,0,1,0
28,106000,93168,36,1,542,0,0,1,1,0,1,0,0,1,1,0,0,0
38,114000,635267,36,1,815,1,0,1,0,1,1,0,1,0,0,1,0,1
28,320000,153000,36,1,480,0,0,1,1,0,1,0,1,0,1,0,0,0
32,30947,1091331,36,1,812,1,0,1,0,1,1,0,1,0,0,0,1,1
28,100000,66130,18,0,650,0,0,1,0,1,1,0,1,0,0,0,1,0
35,144000,796183,36,1,778,1,1,0,0,1,1,0,1,0,0,1,0,1
56,184000,897430,36,1,832,1,0,1,1,0,1,0,1,0,0,0,1,1
32,110000,852900,36,1,795,1,0,1,1,0,0,1,1,0,0,1,0,1
21,80000,93756,36,1,520,0,0,1,1,0,1,0,1,0,0,0,1,0
53,47000,211993,36,1,821,1,0,1,1,0,1,0,1,0,0,0,1,1
40,75000,1041768,36,0,767,1,0,1,0,1,1,0,1,0,0,0,1,1
37,134000,914120,36,1,789,1,0,1,0,1,1,0,1,0,0,1,0,1
33,96000,210900,18,1,803,1,0,1,0,1,0,1,0,1,0,0,1,1
47,88000,921264,18,1,812,1,1,0,1,0,1,0,1,0,0,0,1,1
31,44000,297816,36,1,762,1,0,1,0,1,1,0,1,0,0,0,1,1
33,144000,764628,36,1,801,1,0,1,0,1,1,0,1,0,0,0,1,1
37,120000,98468,36,0,474,0,1,0,0,1,1,0,1,0,0,0,1,0
48,144000,216187,36,1,781,1,1,0,1,0,1,0,1,0,0,1,0,1
46,100000,989004,36,1,806,1,1,0,0,1,0,1,1,0,0,1,0,1
33,120000,1119864,36,1,839,1,1,0,1,0,1,0,1,0,0,1,0,1
24,112000,57780,36,1,494,0,1,0,1,0,1,0,1,0,0,1,0,0
24,134000,78960,36,1,564,0,0,1,0,1,1,0,1,0,0,0,1,0
22,286000,138000,36,0,602,0,1,0,0,1,1,0,0,1,0,0,1,0
51,97000,709659,36,1,781,1,0,1,0,1,1,0,1,0,0,1,0,1
46,96000,980383,36,1,829,1,0,1,0,1,1,0,1,0,0,1,0,1
30,135000,81100,36,1,554,0,0,1,0,1,1,0,1,0,1,0,0,0
32,180000,976458,36,1,794,1,0,1,0,1,1,0,1,0,0,0,1,1
47,144000,306963,36,1,819,1,0,1,0,1,0,1,1,0,0,0,1,1
36,120000,1061572,36,1,791,1,0,1,0,1,1,0,1,0,0,0,1,1
40,99000,433908,36,1,847,1,0,1,0,1,1,0,1,0,0,0,1,1
26,165000,51545,18,0,519,0,0,1,0,1,0,1,0,1,1,0,0,0
29,31144,31968,36,0,583,0,0,1,0,1,1,0,1,0,1,0,0,0
33,116000,46308,36,0,403,0,1,0,1,0,1,0,1,0,0,1,0,0
35,258000,112139,36,1,486,0,0,1,0,1,1,0,1,0,0,1,0,0
26,126000,96418,18,0,435,0,0,1,1,0,0,1,1,0,0,0,1,0
21,312000,537708,36,1,831,1,0,1,0,1,1,0,1,0,0,0,1,1
50,125000,1111404,6,1,788,1,0,1,0,1,0,1,0,1,0,0,1,1
32,136000,118224,36,0,568,0,1,0,1,0,1,0,1,0,0,1,0,0
54,172000,307890,36,1,820,1,0,1,0,1,1,0,1,0,0,0,1,1
34,97000,303279,36,1,777,1,0,1,0,1,0,1,0,1,0,1,0,1
32,81000,219996,3,1,814,1,0,1,1,0,1,0,1,0,0,1,0,1
39,95000,46464,18,0,437,0,0,1,0,1,0,1,1,0,0,1,0,0
30,187000,414430,36,1,840,1,0,1,0,1,1,0,0,1,0,1,0,1
39,113000,56964,48,1,487,0,0,1,1,0,1,0,1,0,0,0,1,0
35,176000,103414,36,1,513,0,0,1,1,0,1,0,1,0,0,0,1,0
40,110000,92830,36,1,526,0,0,1,0,1,1,0,0,1,0,0,1,0
30,180000,118732,3,0,433,0,0,1,0,1,1,0,1,0,0,1,0,0
52,130000,545706,36,1,817,1,0,1,0,1,0,1,0,1,0,1,0,1
